"459250983,2025-09-12T17:26:02Z,1404/06/21 20:56,MAT,matt,twit,#شاخص_بورس بازار محکوم به رشد.... مکانیزم ماشه  قیمت همه کالا ها به گفته دارای 40 تا 70 درش رشد میکنه.. این یعنی درآمد.."
"459250978,2025-09-12T17:25:17Z,1404/06/21 20:55,امین,ghahravi,twit,#پالایشی_یکم  با خبر توافق آژانس هسته ای ...هدف اول ۲۰ خواهد بود ،همیشه پر سود باشید"
"459250958,2025-09-12T17:23:35Z,1404/06/21 20:53,سهام نگر,saminsana33,quote,به چه دلیل ؟ فرامو ش نکنید همیشه بازار طلبکاره و نیاز به تزریق پول و ما همیشه بدهکار"
"459250954,2025-09-12T17:23:11Z,1404/06/21 20:53,Yousef۴۰۴pour,yousefhk,quote,دوسه ماهه که آدم غریب زیاد میاد اینجا تو سر سهم میزنه"
"459250934,2025-09-12T17:19:58Z,1404/06/21 20:49,ugd,a999a,quote,تا وقتیکه صیدی و رفقا دامنه ومبنا را اصلاح نکنند چنین اتفاقی نخواهد افتاد زیرا ایشان به شدت بازار را کنترل میکنند آنهم در جهت منفی"
"459250917,2025-09-12T17:17:41Z,1404/06/21 20:47,محمد محمد,hndc2244,quote,#وبملت \nسلام . شب خوش . \n- بعضی از وزرا و خیلی وقتها خود ریاست محترم  و محبوب جمهور ، ی چی میگن ، شما زیاد به این خرده فرمایشات توجه نفرمائید، چون در این چندین ماه که سر کار هستند حتی به یکی از حرفها ، قولها و شعارهای خودشان هم عمل نکردن .\n- امور مملکت وله و در عوض صبح تا شب جناه ههای چپ و راست به جای ....  مردم به دنبال ..... یکدیگرند \n- خلاصه اینکه اگر دولت را  بجای رجال سیاسی سپرده بودن به مربی های مهد کودک سر کوچه ما ، حداقل چند تا کار مفید تا حالا انجام شده بود یا لااقل چند تا ناترازی تراز شده بود . \n- از کاربران محترم خواهشمندم بجای گزارش کردن این پست لطفا اگر میتوانند فقط و فقط یک کار مثبت که در دولت انجام شده را بفرمایند تا حقیر در همین جا عذرخواهی کنم !!!\n- در مورد مکانیزم ماشه و اثراتش بر قیمت سهام و بازار بورس هم  همانطور که جناب عراقچی فرمودن ، انشاالله که بز است .\n- در بازار فردا هم بهتره برای آرامش بیشتر  سهامداران سرشان را بکنند زیر برف چرا که با توجه به خالی کردن حقوقیها طی دو روز گذشته احتمالا  هفته جالبی نخواهیم داشت !!!\n- کو برف ؟\nپاینده و پر برف باشید ."
"459250912,2025-09-12T17:17:06Z,1404/06/21 20:47,سهام نگر,saminsana33,twit,#شاخص_بورس \nبنظرم هر کسی تو بورس پیش گویی کنه محکوم به شکسته .چون نمی دانید صرفا حدس می زنید با حدس نمیشه پول درآورد یک وقت میگیره یک وقت نمی گیره .‌بنظرم برخی افرادی که منم‌منم‌می کنند از آینذه. مقداری مشکل دارند . اساسا لزومی ندارد از آینده گفت .‌ولی بورس جای استراتژی و ریسک هست حالا اگر خوشبینی و بدبینی را هم دخیل کنید ترکیب بهتری بدست می آید . فردا می تواند زلزله باشد جه بگویم می تواند.. باشد کسی نمی داند  ولی اینجا دنیای ریسک هست .‌ریسک پذیر با استراتژی باشید همه سود یا ضرر به ما تعلق ندارد . پس لزومی ندارد برخی افراد با پمپاژ تصورات خود هر چند صحیح دیگران را ارشاد نمایند.‌تازه برخی دم و دستگاه هم تو فضای مجازی و چه و چه هم دارند گویی دیگران کو.ر هستند و مدام افاضه می نمایند . به هر حال این واقعیت داستانه باید تابع  باد و شرایط بوذ و این خاصیت باژار مالی هست"
"459250908,2025-09-12T17:16:45Z,1404/06/21 20:46,bagher2020,bagherzade,quote,همواره و طبق روال معمول قبل از هر توافقی اینگونه معاملات مرسوم‌ بوده است."
"459250905,2025-09-12T17:16:31Z,1404/06/21 20:46,نرگس ,shabnam.v,twit,#سفاسی \nبخرید که خیلی زود این قیمت ها خاطره میشن"
"459250899,2025-09-12T17:16:08Z,1404/06/21 20:46,نرگس ,shabnam.v,twit,#سفاسی \nفرصتی تکرار نشدنی برای خرید سفاسی"
