"459212293,2025-09-08T15:48:55Z,1404/06/17 19:18,نیکان,hadi08763,pull,#نظرسنجی #شاخص_بورس تا حجم مبنا در  حد متعارف اصلاح نشود کسی از زیان خارج نمی شود\n چون وقتی پایانی پر نشود یعنی سهام در جا می زند \nباید همه از صیدی بخواهند که حجم مبنا متعارف شود چون در منفی ها کاملا پایانی منفی اما در مثبت ها پایانی پر نمی شود \nاگر موافق یا مخالف  نظر بنده هستید  لطفادر نظر سنجی شرکت نماید"
"459212287,2025-09-08T15:47:48Z,1404/06/17 19:17,سهیل,soheil7201,quote,دقیقا"
"459212271,2025-09-08T15:44:16Z,1404/06/17 19:14,Mm,mo50,twit,#سبزوا \nسخته درباره چنین نموداری تحلیل کردن تا نموداری مثلا مثل فولاد یا کهمدا (قبلا تحلیلم رو گذاشتم)چون حد ضرر خرید بنظر من از همه چیز مهمتره والبته نقد شوندگی با اوضاع سهام ما\nولی دوتا نکته در باره سبزوا میشه گفت \nاول بهش میاد که یک  موجی اصلاحی تو لگ اخر تکمیل کرده که خوبه \nنکته دوم هر موقع خواسته رشد کنه یا اول تجمیع قیمت داشته که خستت کنه یا کف دوقلو زده(با خط کوچک مشکی رو نمودار نشون دادم )ببینیم بچ میکنه\nا "
"459212257,2025-09-08T15:43:02Z,1404/06/17 19:13,مهران احمدی,plmzaq,twit,#وساپا ۸۰۰تحویل خواهیم داد نقد نمونید فروختید برید خساپا ورنا بگیرید این سهم فروختی باید باحسرت نگاهش کنی حالا خساپا بخاد تودلی هاشو واگذارکنه وساپا بیشتر از قیمت الانش سود میسازه فروشندها توکف میمونن نفروشید دوستان حقیقی"
"459212251,2025-09-08T15:42:37Z,1404/06/17 19:12,N. Adib,nadib,twit,#وبصادر"
"459212247,2025-09-08T15:42:27Z,1404/06/17 19:12,علیرضا رضایی,khi343,quote,#شلرد جا داره از والدین جناب محمودی بخاطر تلاش های شبانه روزیش تو شرکت لردگان تشکر کنیم.\nایشان حتی زحمت ارسال گزارش ماهیانه رو هم نمی کشید.همش وعده.\nحالا کار به جایی رسیده که این مدیر عامل جدید داره وظایفش رو انجام میده خلق الله دارن ازش تشکر میکنم.\nواقعا جا داره از خانواده مدیر عامل سابق نهایت قدردانی رو بکنیم.\nنظر بقیه  دوستان چیه"
"459212241,2025-09-08T15:42:18Z,1404/06/17 19:12,مهدیه افراشته,mehdiaf,twit,#شپلی  پاسخ شرکت ☘️🌹 \nاحتمالا دیگه مشکلی در بازگشایی نباشه و سهم بازگشایی بشه \nالبته اگه باز هم سلیقه ای عمل نشه"
"459212230,2025-09-08T15:40:05Z,1404/06/17 19:10,محسن,messiii,twit,#خودرو کسانی  که قیمت  طلا وسکه  وعیار رابا انس جهانی ودلار قیاس  می‌کنند و خرید  می‌کنند دقیقا همان بلای بورس ۹۹ درانتظارشان است، ما هم گفتیم ارزش  ذاتی  سهام ،ناو سهام  بالاست می ارزد ولی......افتاد مشکل‌ها درباتلاق گیر کردیم"
"459212227,2025-09-08T15:40:04Z,1404/06/17 19:10,مهدیه افراشته,mehdiaf,twit,#شپلی  نقل قول از اقای وکیلی \n\nسلام\nدر رابطه با بستن شدن شپلی\n\nتا الان پیگیری از شرکت و تهران شد\nسازمان قسمت عملیات بازارش گفت با توجه به رشد سریع سهم گفتند اگر اطلاعاتی هست شرکت اعلام کند نامه الان از طرف سازمان ارسال شد شرکت داره جوابشو آماده میکنه و میفرسته و مشکل سریع رفع خواهد\nمشکلی نیست"
"459212220,2025-09-08T15:38:36Z,1404/06/17 19:08,Reza,reza_bvsad,twit,#ثفارس آقای بابک که میومدی اینجا هر روز میگفتی تا وقتی بازار بورس منفی هست ثفارس وضعیتش همینه.\nالان که چند روزه بازار مثبت شده چرا بازم وضعیت ثفارس همینه.\nچرا بیخود از رفتار بازیگردان و حقوقی سهم حمایت میکنید که الان حرفی واسه گفتن نداشته باشید.\nاون سهیل که حسابش جداست."
